length	time	method
54	45.02	LEARNA
73	5500.0	LEARNA
74	60.67	LEARNA
79	12.73	LEARNA
83	125.92	LEARNA
87	49.02	LEARNA
89	289.02	LEARNA
102	5500.0	LEARNA
117	5500.0	LEARNA
118	11.04	LEARNA
119	5500.0	LEARNA
129	5500.0	LEARNA
140	5500.0	LEARNA
148	87.1	LEARNA
151	5500.0	LEARNA
154	5500.0	LEARNA
161	5500.0	LEARNA
185	76.45	LEARNA
193	282.03	LEARNA
210	5500.0	LEARNA
215	5500.0	LEARNA
301	5500.0	LEARNA
340	5500.0	LEARNA
344	5500.0	LEARNA
348	5500.0	LEARNA
357	5500.0	LEARNA
360	5500.0	LEARNA
382	5500.0	LEARNA
451	5500.0	LEARNA
