length	time	method
54	4.31	Meta-LEARNA
73	5500.0	Meta-LEARNA
74	6.04	Meta-LEARNA
79	3.1	Meta-LEARNA
83	9.29	Meta-LEARNA
87	4.18	Meta-LEARNA
89	252.03	Meta-LEARNA
102	2.72	Meta-LEARNA
117	5500.0	Meta-LEARNA
118	4.04	Meta-LEARNA
119	5500.0	Meta-LEARNA
129	5500.0	Meta-LEARNA
140	5500.0	Meta-LEARNA
148	4.75	Meta-LEARNA
151	5500.0	Meta-LEARNA
154	5500.0	Meta-LEARNA
161	5500.0	Meta-LEARNA
185	6.0	Meta-LEARNA
193	7.75	Meta-LEARNA
210	5.56	Meta-LEARNA
215	5.43	Meta-LEARNA
301	5500.0	Meta-LEARNA
340	44.93	Meta-LEARNA
344	5500.0	Meta-LEARNA
348	117.41	Meta-LEARNA
357	5500.0	Meta-LEARNA
360	5500.0	Meta-LEARNA
382	5500.0	Meta-LEARNA
451	5500.0	Meta-LEARNA
