length	time	method
54	2.47	Meta-LEARNA-Adapt
73	3.55	Meta-LEARNA-Adapt
74	2.7	Meta-LEARNA-Adapt
79	2.93	Meta-LEARNA-Adapt
83	2.98	Meta-LEARNA-Adapt
87	3.29	Meta-LEARNA-Adapt
89	2.79	Meta-LEARNA-Adapt
102	2.6	Meta-LEARNA-Adapt
117	53.04	Meta-LEARNA-Adapt
118	3.14	Meta-LEARNA-Adapt
119	5500.0	Meta-LEARNA-Adapt
129	5500.0	Meta-LEARNA-Adapt
140	3.28	Meta-LEARNA-Adapt
148	3.34	Meta-LEARNA-Adapt
151	6.46	Meta-LEARNA-Adapt
154	13.4	Meta-LEARNA-Adapt
161	65.59	Meta-LEARNA-Adapt
185	4.99	Meta-LEARNA-Adapt
193	4.22	Meta-LEARNA-Adapt
210	3.4	Meta-LEARNA-Adapt
215	4.33	Meta-LEARNA-Adapt
301	22.19	Meta-LEARNA-Adapt
340	7.46	Meta-LEARNA-Adapt
344	192.1	Meta-LEARNA-Adapt
348	5.16	Meta-LEARNA-Adapt
357	5500.0	Meta-LEARNA-Adapt
360	275.87	Meta-LEARNA-Adapt
382	5500.0	Meta-LEARNA-Adapt
451	5500.0	Meta-LEARNA-Adapt
