length	time	method
54	5.44	LEARNA_GC_03
73	34.9	LEARNA_GC_03
74	7.37	LEARNA_GC_03
79	4.61	LEARNA_GC_03
83	18.5	LEARNA_GC_03
87	6.9	LEARNA_GC_03
89	15.1	LEARNA_GC_03
102	25.37	LEARNA_GC_03
117	97.04	LEARNA_GC_03
118	4.03	LEARNA_GC_03
119	5500.0	LEARNA_GC_03
129	5500.0	LEARNA_GC_03
140	35.67	LEARNA_GC_03
148	33.39	LEARNA_GC_03
151	107.92	LEARNA_GC_03
154	337.07	LEARNA_GC_03
161	5500.0	LEARNA_GC_03
185	36.93	LEARNA_GC_03
193	61.3	LEARNA_GC_03
210	37.38	LEARNA_GC_03
215	45.85	LEARNA_GC_03
301	152.75	LEARNA_GC_03
340	372.05	LEARNA_GC_03
344	5500.0	LEARNA_GC_03
348	5500.0	LEARNA_GC_03
357	5500.0	LEARNA_GC_03
360	5500.0	LEARNA_GC_03
382	5500.0	LEARNA_GC_03
451	5500.0	LEARNA_GC_03
