length	time	method
54	0.13	antarna
73	0.5	antarna
74	0.21	antarna
79	0.2	antarna
83	0.4	antarna
87	0.23	antarna
89	0.63	antarna
102	0.93	antarna
117	7.63	antarna
118	0.34	antarna
119	5500.0	antarna
129	5500.0	antarna
140	4.78	antarna
148	3.34	antarna
151	138.22	antarna
154	2.88	antarna
161	522.65	antarna
185	3.19	antarna
193	2.8	antarna
210	22.71	antarna
215	8.26	antarna
301	12.88	antarna
340	106.04	antarna
344	5500.0	antarna
348	5500.0	antarna
357	5500.0	antarna
360	5500.0	antarna
382	5500.0	antarna
451	5500.0	antarna
